element,sp_num,obs_wl_air(A),unc_obs_wl,ritz_wl_air(A),unc_ritz_wl
H,1,,,4862.71947584,0.00000024
H,1,,,4862.7202,0.0005
H,1,,,4862.7230788,0.0000019
H,1,,,4862.73282785,0.00000012
Th,2,4862.9467,0.0006,4862.94589,0.00014
Cr,1,4863.1990,0.0018,4863.2008,0.0012
Th,2,4863.2860,0.0021,4863.29045,0.00021
Th,2,4863.486,0.003,4863.48670,0.00014
Th,2,4863.561,0.003,4863.5582,0.0003
Fe,1,4863.9549,0.0019,4863.9564,0.0003
V,1,4863.968,0.004,4863.9788,0.0019
Th,2,4864.521,0.003,4864.52256,0.00007
Th,2,4864.53144,0.00004,4864.53198,0.00004
K,1,4864.842,0.010,4864.83928,0.00017
Fe,1,4865.0020,0.0007,4865.0020,0.0003
Ti,1,4865.112,0.003,4865.1102,0.0012
Fe,1,4865.138,0.004,4865.1355,0.0003
Cr,1,4865.20,0.04,4865.1962,0.0007
Cr,1,4865.20,0.04,4865.237,0.003
Ti,1,4865.534,0.003,4865.5330,0.0009
V,1,4866.0886,0.0015,4866.0886,0.0005
V,1,4866.1934,0.0018,4866.1919,0.0007
Gd,2,4866.38,0.10,,
Cr,1,4866.54,0.06,4866.513,0.017
Lu,2,4866.72,0.10,,
Cr,1,4867.07,0.06,4867.1130,0.0007
Zr,1,4867.42,0.10,,
Cu,1,4867.46,0.06,4867.52,0.07
Ni,1,4867.63,0.10,,
Cr,1,4867.96,0.03,4868.008,0.017
Si,1,,,4868.240,0.010
Th,2,4868.389,0.003,4868.3923,0.0003
Mo,1,4869.377,0.010,4869.377+,0.003
Dy,2,4869.41,0.10,,
Ti,1,4869.502,0.005,4869.503,0.003
Ti,1,4869.619,0.003,4869.6194,0.0017
Th,2,4869.6340,0.0004,4869.63403,0.00014
Cr,1,4869.65,0.03,4869.6548,0.0004
Fe,1,4869.733,0.004,4869.7329,0.0003
Fe,1,4869.790,0.004,4869.7946,0.0005
Sr,1,4870.060,0.002,4870.0605,0.0018
Si,1,,,4870.434,0.010
Ru,1,4870.51,0.10,4870.51+,0.03
Sr,1,4870.530,0.005,4870.5325,0.0018
Fe,1,4870.8237,0.0019,4870.8233,0.0003
K,1,,,4871.10357,0.00017
K,1,4871.117,0.010,4871.11916,0.00017
Fe,1,4871.396,0.004,4871.3966,0.0003
Ti,1,4871.487,0.003,4871.4849,0.0021
V,1,4871.502,0.004,4871.5043,0.0009
Cr,1,4872.1580,0.0007,4872.1575,0.0003
V,1,4872.616,0.002,4872.6169,0.0012
Fe,1,4872.6785,0.0007,4872.6784,0.0003
Fe,1,4873.2886,0.0007,4873.2886,0.0003
Cr,1,4873.361,0.003,4873.36146,0.00017
Er,2,4873.45,0.10,,
Fe,1,4873.4983,0.0007,4873.4981,0.0003
Th,2,4873.5017,0.0007,4873.50202,0.00014
Tm,2,4873.64,0.10,,
Sr,1,4873.854,0.002,4873.851,0.003
Th,2,4873.898,0.003,4873.89652,0.00017
Fe,1,4874.268,0.004,4874.2678,0.0003
V,1,4874.316,0.003,4874.322,0.003
