element,sp_num,obs_wl_air(A),unc_obs_wl,ritz_wl_air(A),unc_ritz_wl
Th,2,5920.448,0.005,5920.43685,0.00014
Fe,1,5920.572,0.003,5920.5709,0.0005
Ti,1,5920.710,0.004,5920.7153,0.0021
Ru,1,5920.98,0.10,5920.99+,0.05
Cr,1,5921.54,0.04,5921.5037,0.0006
Fe,1,5922.143,0.003,5922.1396,0.0008
Na,2,5922.99,0.10,,
Ru,1,5923.09,0.10,5923.10+,0.05
Ti,1,5923.749,0.004,5923.7509,0.0018
Fe,1,5925.156,0.005,5925.1570,0.0008
Fe,1,5925.390,0.003,5925.3901,0.0005
Th,2,5926.0302,0.0014,5926.0304,0.0004
Dy,2,5926.20,0.10,,
V,1,5926.21,0.02,5926.2167,0.0011
Zr,1,5926.77,0.10,,
Sn,1,5926.9457,0.0019,5926.9455,0.0016
Th,2,5927.53376,0.00021,5927.53395,0.00008
Mo,1,5928.009,0.010,5928.009+,0.005
Th,2,5928.422,0.005,5928.41796,0.00018
Fe,1,5928.465,0.005,5928.4674,0.0008
Ru,1,5928.51,0.10,5928.51+,0.05
Th,2,5928.5816,0.0021,5928.58239,0.00007
La,2,5929.35,0.10,5929.35+,0.05
Fe,1,5929.4311,0.0011,5929.4309,0.0005
Th,2,5929.591,0.005,5929.59463,0.00021
Na,3,,,5929.80,0.10
Cr,1,5930.25,0.04,5930.2404,0.0011
Mo,1,5930.521,0.010,5930.521+,0.005
Th,2,5930.784,0.005,5930.7871,0.0003
Th,2,5931.1231,0.0005,5931.12319,0.00008
Fe,1,5931.3198,0.0011,5931.3188,0.0005
Fe,1,5931.8226,0.0011,5931.8233,0.0005
Cr,1,5931.99,0.04,5932.0301,0.0014
Pr,2,5932.30,0.10,5932.30+,0.05
Th,2,5932.600,0.005,5932.60074,0.00025
Fe,1,5933.534,0.003,5933.5356,0.0008
Th,2,5933.7701,0.0021,5933.76894,0.00018
Ru,1,5934.02,0.10,5934.05+,0.05
Th,2,5934.345,0.005,5934.35283,0.00021
Cr,1,5934.884,0.012,5934.8872,0.0018
Fe,1,5935.444,0.003,5935.4413,0.0005
Sn,1,5935.6499,0.0018,5935.6502,0.0022
Fe,1,,,5936.0660,0.0005
Fe,1,5936.2989,0.0011,5936.2985,0.0005
Th,2,5936.358,0.005,5936.35731,0.00025
Cu,1,5936.39,0.14,5936.38,0.05
Cr,1,5936.66,0.04,5936.636,0.011
Fe,1,5936.773,0.003,5936.7757,0.0008
Zr,1,5936.84,0.10,,
Cr,1,5937.01,0.04,5936.9596,0.0018
Na,3,,,5937.46,0.10
La,2,5937.86,0.10,5937.85+,0.05
Pr,2,5937.97,0.10,,
Th,2,5938.247,0.005,5938.25046,0.00021
Ru,1,5938.29,0.10,5938.29+,0.05
Fe,1,5938.582,0.005,5938.5826,0.0008
Fe,1,,,5938.6457,0.0005
Ti,1,5939.452,0.004,5939.4542,0.0014
Th,2,5940.2213,0.0005,5940.22121,0.00011
Cr,1,5940.39,0.04,5940.370,0.011
Sm,2,5940.55,0.10,,
Fe,1,5940.886,0.003,5940.8839,0.0008
Pr,2,5941.55,0.10,5941.54+,0.05
Fe,1,5942.098,0.005,5942.1015,0.0011
Ti,1,5942.292,0.004,5942.2946,0.0014
Pr,2,5942.37,0.10,5942.37+,0.05
Na,2,5942.55,0.10,,
Fe,1,5942.6371,0.0011,5942.6368,0.0005
Ti,1,5943.396,0.004,5943.3979,0.0014
Th,2,5943.7664,0.0025,5943.77104,0.00014
Th,2,5944.4420,0.0004,5944.44200,0.00011
Fe,1,5944.7468,0.0011,5944.7476,0.0008
Fe,1,5945.2247,0.0011,5945.2244,0.0005
Fe,1,5945.271,0.007,5945.2693,0.0005
Th,2,5945.701,0.005,5945.70435,0.00021
Th,2,5945.759,0.005,5945.76211,0.00014
Ti,1,5946.305,0.004,5946.3072,0.0011
Th,2,5946.668,0.004,5946.6543,0.0003
Fe,1,5947.037,0.003,5947.0371,0.0011
Th,2,5947.263,0.005,5947.26477,0.00021
Y,1,5947.3335,0.0010,5947.3321,0.0005
Th,2,5948.570,0.005,5948.57496,0.00025
Pr,2,5948.81,0.10,5948.83+,0.05
Fe,1,5949.1588,0.0011,5949.1599,0.0005
La,2,5949.95,0.10,5949.94+,0.05
Si,1,5950.193,0.010,5950.189,0.010
Th,2,5950.203,0.003,5950.20494,0.00021
Fe,1,5950.927,0.007,5950.9294,0.0005
Fe,1,5950.9948,0.0011,5950.9938,0.0005
Y,1,5951.6358,0.0010,5951.6356,0.0005
Cr,1,5952.35,0.04,5952.331,0.003
Th,2,5952.537,0.005,5952.5473,0.0005
Ru,1,5952.80,0.10,5952.80+,0.05
Pr,2,5952.92,0.10,5952.93+,0.05
Pr,2,5952.92,0.10,5952.92+,0.05
Fe,1,5953.1020,0.0011,5953.1063,0.0008
Gd,2,5953.25,0.10,,
Pr,2,5953.41,0.10,5953.38+,0.05
Th,2,5953.939,0.005,5953.9551,0.0003
Th,2,5953.999,0.005,5953.98530,0.00025
Fe,1,5954.3671,0.0011,5954.3668,0.0005
Fe,1,5954.534,0.003,5954.5352,0.0005
Ti,1,5954.806,0.004,5954.809,0.003
Fe,1,5955.246,0.003,5955.2462,0.0005
Eu,2,5955.49,0.10,,
Cr,1,5956.40,0.04,5956.3397,0.0006
Zr,1,5957.00,0.10,,
Cr,1,5957.21,0.06,5957.2119,0.0018
Cr,1,5957.21,0.06,5957.238,0.018
Th,2,5957.586,0.003,5957.59695,0.00025
Fe,1,5958.110,0.003,5958.1117,0.0005
Gd,2,5958.13,0.10,,
Pr,2,5958.25,0.10,5958.18+,0.05
Pr,2,5958.25,0.10,5958.26+,0.05
Pr,2,5958.25,0.10,5958.26+,0.05
Fe,1,5958.3442,0.0011,5958.3436,0.0005
Th,2,5958.454,0.003,5958.44950,0.00014
Th,2,5958.741,0.005,5958.74052,0.00025
Ti,1,5959.011,0.004,5959.0073,0.0011
Cr,1,5959.21,0.04,5959.1723,0.0004
Th,2,5959.386,0.005,5959.3958,0.0014
Fe,1,5959.515,0.003,5959.5143,0.0005
Th,2,5959.723,0.005,5959.71960,0.00021
S,1,,,5959.84+,0.04
Fe,1,5959.879,0.007,5959.8780,0.0005
Fe,1,5959.879,0.007,5959.8815,0.0005
Fe,1,5959.9834,0.0011,5959.9831,0.0005
O,1,5960.04,0.10,5960.036,0.010
O,1,5960.04,0.10,5960.036,0.010
O,1,5960.23,0.10,5960.235,0.010
O,1,5960.23,0.10,5960.235,0.010
O,1,5960.23,0.10,5960.235,0.010
O,1,,,5960.291,0.010
Ti,1,5960.397,0.004,5960.4023,0.0014
S,1,5960.76,0.10,5960.67,0.10
S,1,5960.76,0.10,5960.70,0.10
Cr,1,5960.817,0.004,5960.8183,0.0011
S,1,,,5961.13+,0.04
Fe,1,5961.5653,0.0011,5961.5657,0.0005
S,1,,,5961.95+,0.04
Fe,1,5962.012,0.003,5962.0132,0.0008
Th,2,5962.023,0.005,5962.0207,0.0003
S,1,5962.84,0.10,5962.86,0.10
Fe,1,5963.175,0.003,5963.1754,0.0008
Fe,1,5963.570,0.003,5963.5694,0.0005
Th,2,5963.6162,0.0005,5963.61623,0.00005
Th,2,5963.8269,0.0018,5963.82453,0.00011
Fe,1,5963.871,0.005,5963.8706,0.0005
Fe,1,5964.717,0.005,5964.7062,0.0005
Fe,1,5964.8901,0.0011,5964.8909,0.0005
Ti,1,5966.113,0.009,5966.1230,0.0011
Cr,1,5966.232,0.006,5966.23191,0.00021
Ti,1,5966.454,0.004,5966.4553,0.0011
Cr,1,5966.88,0.04,5966.845,0.004
Fe,1,5967.124,0.003,5967.1215,0.0005
V,1,5967.129,0.012,5967.1404,0.0021
Fe,1,5967.347,0.003,5967.3430,0.0005
Sm,2,5967.36,0.10,,
Ti,1,5967.478,0.004,5967.4812,0.0021
Fe,1,5967.6432,0.0011,5967.6414,0.0005
Eu,2,5967.72,0.10,,
Cu,1,5968.24,0.14,5968.10,0.14
Fe,1,5968.633,0.003,5968.6341,0.0005
Pr,2,5969.47,0.10,5969.49+,0.05
Sm,2,5970.47,0.10,,
Fe,1,,,5970.5364,0.0005
Ti,1,5970.792,0.004,5970.7899,0.0011
Fe,1,5971.2154,0.0011,5971.2155,0.0005
Na,7,,,5970,50
Na,7,,,5970,50
Sr,1,5971.732,0.006,5971.732,0.003
Sn,1,5971.9453,0.0012,5971.9465,0.0016
Cr,1,5972.34,0.04,5972.3435,0.0011
La,2,5972.74,0.10,5972.72+,0.05
Ti,1,5972.829,0.004,5972.8301,0.0014
Ba,1,5973.352,0.010,5973.352+,0.005
Cr,1,5973.95,0.04,5973.91410,0.00021
Th,2,5974.444,0.005,5974.43481,0.00018
Ru,1,5975.03,0.10,5975.02+,0.05
Fe,1,5975.125,0.003,5975.1263,0.0011
La,2,5975.18,0.10,5975.20+,0.05
Na,2,5975.24,0.10,,
Ru,1,5975.82,0.10,5975.82+,0.05
Th,2,5976.5169,0.0007,5976.5162,0.0004
V,1,5976.991,0.004,5976.9912,0.0008
Fe,1,5977.001,0.007,5977.0023,0.0008
Fe,1,5977.001,0.007,5977.01,0.03
Th,2,5977.773,0.005,5977.78207,0.00014
Fe,1,5977.8154,0.0011,5977.8155,0.0005
Th,2,5978.092,0.005,5978.08386,0.00018
Fe,1,5978.0942,0.0011,5978.0939,0.0005
Fe,1,5978.4323,0.0011,5978.4320,0.0005
Th,2,5979.725,0.005,5979.73120,0.00014
Fe,1,5979.979,0.005,5979.9814,0.0008
Ba,1,5980.117,0.010,5980.117+,0.005
Ti,1,5980.195,0.004,5980.197,0.003
Cr,1,5980.35,0.04,5980.2817,0.0005
Cr,1,5980.39,0.04,5980.4136,0.0014
Fe,1,5980.550,0.003,5980.5476,0.0008
V,1,5980.57,0.02,5980.5597,0.0007
Ti,1,5981.313,0.004,5981.3179,0.0011
V,1,5982.438,0.002,5982.4374,0.0006
Ti,1,5982.479,0.004,5982.4821,0.0014
Pr,2,5982.85,0.10,5982.86+,0.05
Fe,1,5983.0215,0.0011,5983.0215,0.0008
Th,2,5983.042,0.005,5983.03821,0.00014
Fe,1,5983.411,0.007,5983.4063,0.0008
Cr,1,5983.509,0.006,5983.5035,0.0007
Y,1,5983.538,0.010,5983.5363,0.0008
Th,2,5983.5416,0.0005,5983.54164,0.00011
Fe,1,5983.969,0.003,5983.9670,0.0008
Ti,1,5984.187,0.004,5984.1887,0.0014
Cr,1,5984.529,0.003,5984.5295,0.0006
Cr,1,5984.88,0.04,5984.938,0.014
Fe,1,5985.3380,0.0011,5985.3370,0.0005
Lu,2,5985.6,1.0,,
Th,2,5985.6569,0.0021,5985.64838,0.00018
Zr,1,5985.89,0.10,,
Ti,1,5986.234,0.004,5986.2348,0.0014
V,1,5986.26,0.02,5986.2886,0.0008
Fe,1,5986.4724,0.0011,5986.4725,0.0005
Fe,1,5986.846,0.003,5986.8438,0.0008
Th,2,5986.8660,0.0021,5986.86666,0.00014
Fe,1,5988.6142,0.0011,5988.6138,0.0008
Fe,1,5988.7228,0.0011,5988.7229,0.0008
Pr,2,5988.95,0.10,5988.93+,0.05
Mo,1,5989.821,0.010,5989.821+,0.005
Ti,1,5990.210,0.004,5990.2127,0.0025
Fe,1,5990.215,0.003,5990.2145,0.0008
Ru,1,5990.33,0.10,5990.33+,0.05
Th,2,5990.70362,0.00004,5990.70362,0.00004
Th,2,5990.859,0.005,5990.86672,0.00014
Th,2,5991.552,0.005,5991.5530,0.0003
Th,2,5991.646,0.005,5991.65118,0.00018
Th,2,5991.924,0.003,5991.92578,0.00014
Ti,1,5992.185,0.004,5992.1919,0.0014
Cr,1,5992.86,0.04,5992.8063,0.0004
Fe,1,5992.920,0.003,5992.9195,0.0008
Yb,2,5993.17,0.10,,
Th,2,5993.371,0.005,5993.36878,0.00007
Cr,1,5993.97,0.04,5993.946,0.011
Fe,1,5994.301,0.003,5994.3015,0.0005
Fe,1,5994.658,0.003,5994.6586,0.0005
Th,2,5994.928,0.005,5994.9331,0.0022
Ru,1,5995.31,0.10,5995.33+,0.05
Fe,1,5996.204,0.003,5996.2032,0.0005
O,1,5996.94,0.10,,
Zr,1,5997.03,0.10,,
Ti,1,5997.323,0.004,5997.3238,0.0014
Fe,1,5997.575,0.003,5997.5737,0.0005
Ti,1,5997.657,0.004,5997.661,0.003
Ni,1,,,5998.391,0.010
Ba,1,5998.748,0.010,5998.748+,0.005
Fe,1,5999.3357,0.0011,5999.3358,0.0015
Fe,1,5999.4386,0.0011,5999.4376,0.0005
Cr,1,5999.75,0.04,5999.7513,0.0003
Th,2,6000.316,0.005,6000.31987,0.00009
Cr,1,6000.57,0.04,6000.6518,0.0008
Fe,1,6000.5996,0.0011,6000.6001,0.0008
Ti,1,6000.670,0.004,6000.6732,0.0014
Ti,1,6001.319,0.004,6001.3196,0.0022
Cr,1,6001.63,0.04,6001.7017,0.0007
Fe,1,,,6001.6628,0.0005
Fe,1,6002.292,0.005,6002.2893,0.0008
Zr,1,6002.71,0.10,,
V,1,6003.965,0.003,6003.9650,0.0007
Th,2,6004.0288,0.0022,6004.02169,0.00011
Pr,2,6004.10,0.10,6004.12+,0.05
V,1,6004.287,0.002,6004.2866,0.0008
Ti,1,6004.293,0.004,6004.2931,0.0014
Fe,1,6004.6745,0.0011,6004.6734,0.0005
Gd,2,6006.23,0.10,,
Cr,1,6006.23,0.07,6006.2145,0.0008
Cr,1,6006.23,0.07,6006.2527,0.0014
Cr,1,6006.23,0.07,6006.275,0.011
Fe,1,6007.2042,0.0011,6007.2042,0.0005
Cr,1,6007.942,0.003,6007.9429,0.0008
Pr,2,6007.99,0.10,6007.99+,0.05
Cr,1,6008.27,0.04,6008.2676,0.0003
Er,2,6008.45,0.10,,
Ni,1,,,6008.974,0.010
Th,2,6009.255,0.005,6009.2530,0.0003
Fe,1,6009.3785,0.0011,6009.3781,0.0008
Fe,1,6009.6236,0.0011,6009.6233,0.0005
Fe,1,6010.2203,0.0011,6010.2197,0.0005
V,1,6010.31,0.02,6010.3371,0.0008
Er,2,6010.41,0.10,,
Th,2,6010.777,0.005,6010.77462,0.00022
Y,1,6010.8477,0.0010,6010.8483,0.0005
Fe,1,6011.490,0.007,6011.4853,0.0005
Fe,1,6011.490,0.007,6011.4907,0.0008
Cs,1,6012.1551,0.0005,6012.15471,0.00018
Th,2,6013.014,0.005,6013.01551,0.00018
Cr,1,6013.03,0.04,6013.0727,0.0003
Fe,1,6013.8746,0.0011,6013.8746,0.0005
Fe,1,6014.1024,0.0011,6014.1014,0.0008
Ti,1,6014.392,0.009,6014.4016,0.0022
Fe,1,6014.423,0.003,6014.4201,0.0005
Ti,1,6015.078,0.004,6015.0818,0.0014
Mn,1,6015.17,0.10,6015.18,0.10
Fe,1,6015.580,0.003,6015.5804,0.0011
Ti,1,6016.431,0.004,6016.4301,0.0022
Cr,1,6016.46,0.04,6016.4576,0.0006
Fe,1,6016.9098,0.0011,6016.9091,0.0005
Th,2,6017.08771,0.00022,6017.08780,0.00011
Er,2,6017.41,0.10,,
Th,2,6017.435,0.005,6017.4329,0.0004
Fe,1,6017.713,0.007,6017.7154,0.0008
V,1,6017.785,0.004,6017.7871,0.0011
Pr,2,6018.15,0.10,6018.18+,0.05
Mn,1,6018.31,0.10,,
Ti,1,6018.660,0.004,6018.6618,0.0014
U,2,6019.05,0.10,,
Ti,1,6019.211,0.004,6019.2125,0.0018
Pr,2,6019.47,0.10,6019.43+,0.05
V,1,6019.57,0.02,6019.5864,0.0007
Fe,1,6019.9658,0.0011,6019.9658,0.0005
Ti,1,6020.061,0.004,6020.0622,0.0018
Na,3,,,6020.29,0.09
Ti,1,6020.303,0.004,6020.3054,0.0014
Th,2,6020.6603,0.0005,6020.66090,0.00011
Th,2,6020.882,0.005,6020.88146,0.00015
Fe,1,6021.0325,0.0011,6021.0322,0.0005
Ba,1,6021.137,0.010,6021.137+,0.005
Cr,1,6021.25,0.04,6021.2219,0.0018
Fe,1,6021.6804,0.0004,,
Fe,1,6021.8360,0.0011,6021.8353,0.0005
Th,2,6023.0788,0.0005,6023.07917,0.00022
V,1,6023.416,0.003,6023.4189,0.0022
Fe,1,6023.4584,0.0011,6023.4563,0.0005
Mn,1,6023.47,0.10,6023.49,0.10
Th,2,6023.817,0.005,6023.8095,0.0003
Th,2,6023.891,0.005,6023.8882,0.0003
Cr,1,6024.52,0.04,6024.510,0.003
Y,1,6025.076,0.010,6025.075,0.004
Cr,1,6025.35,0.04,6025.2983,0.0006
Fe,1,6025.7258,0.0011,6025.7251,0.0005
V,1,6025.842,0.003,6025.8424,0.0011
Th,2,6026.602,0.005,6026.6011,0.0003
Cr,1,6026.822,0.003,6026.8229,0.0022
Zr,1,6027.03,0.10,,
V,1,6027.067,0.002,6027.0707,0.0008
Mo,1,6027.145,0.010,6027.145+,0.005
Th,2,6027.285,0.005,6027.28282,0.00015
Pr,2,6027.39,0.10,6027.40+,0.05
Ni,1,,,6027.423,0.010
Th,2,6027.907,0.003,6027.9163,0.0006
Na,2,6028.34,0.10,,
Fe,1,6028.7195,0.0011,6028.7196,0.0005
Mo,1,6028.925,0.010,6028.925+,0.005
Th,2,6029.150,0.005,6029.15148,0.00011
Fe,1,6029.392,0.003,6029.3924,0.0005
Cr,1,6029.42,0.04,6029.371,0.004
Th,2,6029.621,0.005,6029.62144,0.00015
Fe,1,6029.635,0.003,6029.6342,0.0005
Fe,1,6029.7756,0.0011,6029.772,0.004
Cr,1,6030.20,0.04,6030.2520,0.0018
Th,2,6030.533,0.005,6030.53416,0.00018
Cr,1,6030.97,0.04,6030.9413,0.0008
Na,8,,,6040,50
Na,8,,,6030,50
Mo,1,6032.314,0.010,6032.313+,0.005
Th,2,6032.478,0.005,6032.4825,0.0004
Nd,2,6032.936,0.010,6032.940+,0.005
Ti,1,6033.338,0.004,6033.3398,0.0015
Th,2,6033.581,0.005,6033.57882,0.00015
Er,2,6033.79,0.10,,
Th,2,6033.9877,0.0005,6033.98788,0.00007
Cu,1,6034.00,0.14,6034.06,0.08
Th,2,6034.102,0.005,6034.10863,0.00018
Zr,1,6034.28,0.10,,
Th,2,6034.336,0.005,6034.34422,0.00018
Th,2,6034.860,0.003,6034.8531,0.0005
Ce,2,6035.25,0.10,6035.215+,0.005
Fe,1,6035.7060,0.0011,6035.7057,0.0005
Cs,1,6035.7604,0.0005,6035.76009,0.00018
Th,2,6035.810,0.005,6035.8066,0.0003
Ce,2,6035.87,0.10,6035.876+,0.005
Nd,2,6035.910,0.010,6035.899+,0.005
Th,2,6036.2121,0.0015,6036.21109,0.00018
Fe,1,6037.008,0.007,6037.0079,0.0008
Fe,1,6037.008,0.007,6037.0149,0.0005
Ce,2,6037.16,0.10,6037.147+,0.005
Fe,1,6038.129,0.007,6038.1278,0.0005
Cr,1,6038.67,0.04,6038.6827,0.0015
Sn,1,6039.2762,0.0018,6039.2764,0.0016
Th,2,6039.980,0.005,6039.98103,0.00015
Cr,1,6040.94,0.04,6040.9503,0.0006
Ni,1,,,6040.970,0.010
V,1,6041.398,0.002,6041.3981,0.0009
Th,2,6041.793,0.005,6041.7927,0.0003
Cr,1,6042.11,0.08,6042.0738,0.0004
Th,2,6043.103,0.004,6043.0965,0.0015
Th,2,6043.301,0.005,6043.29872,0.00018
S,1,6043.60,0.10,6043.60,0.10
Fe,1,6043.7679,0.0004,,
Fe,1,6043.898,0.003,6043.8985,0.0005
Pr,2,6044.54,0.10,6044.55+,0.05
Th,2,6044.6343,0.0005,6044.63348,0.00011
Ce,2,6045.06,0.10,6045.046+,0.005
Th,2,6046.10651,0.00015,6046.10643,0.00007
Cr,1,6047.08,0.06,6047.0753,0.0011
Cr,1,6047.08,0.06,6047.1132,0.0009
Th,2,6047.141,0.005,6047.14811,0.00022
Er,2,6047.30,0.10,,
Zr,1,6047.52,0.10,,
S,1,,,6047.65+,0.04
S,1,6047.71,0.10,6047.71,0.10
O,1,6047.90,0.10,6047.907,0.010
O,1,6048.11,0.10,6048.112,0.010
O,1,6048.16,0.10,6048.169,0.010
Pr,2,6048.33,0.10,6048.33+,0.05
Cr,1,6049.332,0.003,6049.3308,0.0008
Mo,1,6049.519,0.010,6049.518+,0.005
Er,2,6049.81,0.10,,
Th,2,6049.849,0.005,6049.8389,0.0006
Na,3,,,6049.90,0.10
V,1,6050.31,0.02,6050.3359,0.0006
Ti,1,6050.392,0.004,6050.3912,0.0018
Zr,1,6050.91,0.10,,
Eu,2,6051.19,0.10,,
Th,2,6051.4472,0.0006,6051.44796,0.00011
Th,2,6051.600,0.005,6051.6035,0.0003
Pr,2,6051.72,0.10,6051.72+,0.05
Na,3,,,6051.81,0.10
U,2,6053.42,0.10,,
Ce,2,6053.48,0.10,6053.491+,0.005
Nd,2,6053.551,0.010,6053.544+,0.005
S,1,,,6054.20+,0.04
S,1,,,6054.27+,0.04
S,1,6054.34,0.10,6054.33,0.10
Yb,2,6054.56,0.10,,
Cr,1,6054.80,0.04,6054.807,0.018
Ni,1,,,6055.361,0.010
Fe,1,6055.7501,0.0011,6055.7493,0.0005
Cr,1,6056.09,0.04,6056.0968,0.0015
V,1,6056.153,0.003,6056.1564,0.0018
Th,2,6056.211,0.005,6056.2144,0.0003
Sn,1,6056.3503,0.0021,6056.3497,0.0016
Mo,1,6056.485,0.010,6056.485+,0.005
Fe,1,6056.768,0.007,6056.7661,0.0008
Th,2,6056.837,0.005,6056.8366,0.0004
Fe,1,6057.078,0.006,6057.0783,0.0008
Fe,1,6057.6811,0.0011,6057.6811,0.0005
Ti,1,6058.744,0.004,6058.7455,0.0015
Fe,1,6058.9352,0.0011,6058.9301,0.0008
V,1,6059.820,0.003,6059.8194,0.0007
Th,2,6059.8587,0.0006,6059.85877,0.00011
Th,2,6059.950,0.005,6059.9502,0.0003
Th,2,6060.2898,0.0007,6060.29045,0.00015
Ti,1,6060.409,0.004,6060.4111,0.0015
Th,2,6061.213,0.005,6061.21628,0.00015
Th,2,6061.908,0.005,6061.91176,0.00022
Fe,1,6062.3019,0.0011,6062.2998,0.0005
Fe,1,6062.486,0.003,6062.4869,0.0005
Th,2,6063.164,0.005,6063.16808,0.00015
Th,2,6064.110,0.005,6064.11148,0.00018
Th,2,6064.293,0.005,6064.2943,0.0003
Cr,1,6064.353,0.002,6064.3517,0.0011
Zr,1,6064.52,0.10,,
Fe,1,6064.5266,0.0011,6064.5259,0.0005
Fe,1,6064.623,0.003,6064.6223,0.0008
Th,2,6064.747,0.005,6064.7480,0.0004
Ba,1,6064.793,0.010,6064.793+,0.005
Na,2,6064.95,0.10,,
Th,2,6065.034,0.005,6065.0374,0.0003
V,1,6065.0670,,6065.0670,0.0011
Ti,1,6066.302,0.004,6066.3051,0.0022
Fe,1,6067.161,0.007,6067.1608,0.0005
Fe,1,6067.161,0.007,6067.1641,0.0008
Fe,1,6067.479,0.003,6067.4796,0.0005
Th,2,6068.010,0.005,6067.9993,0.0004
Th,2,6068.1769,0.0006,6068.17639,0.00026
Th,2,6068.7601,0.0005,6068.76030,0.00011
La,2,6068.82,0.10,6068.80+,0.05
U,2,6068.90,0.10,,
V,1,6068.927,0.004,6068.9278,0.0015
Pr,2,6068.95,0.10,6068.92+,0.05
Tm,2,6069.46,0.10,,
Th,2,6069.723,0.005,6069.72783,0.00022
Cr,1,6070.15,0.04,6070.115,0.007
Sn,1,6070.797,0.003,6070.7973,0.0018
Ti,1,6070.951,0.004,6070.9502,0.0015
Na,3,,,6071.11,0.09
Th,2,6071.715,0.005,6071.71587,0.00015
Th,2,6072.573,0.005,6072.5815,0.0006
Th,2,6073.096,0.005,6073.10147,0.00015
Fe,1,6073.101,0.007,6073.1005,0.0008
Th,2,6074.78490,0.00018,6074.78504,0.00007
Sn,1,6074.947,0.004,6074.9466,0.0020
Th,2,6075.392,0.005,6075.39613,0.00026
Th,2,6077.878,0.003,6077.87880,0.00018
Er,2,6078.13,0.10,,
Th,2,6078.321,0.005,6078.32493,0.00022
Th,2,6079.0491,0.0018,6079.04689,0.00018
V,1,6079.059,0.005,6079.074,0.003
Fe,1,6080.1735,0.0011,6080.1735,0.0005
Th,2,6080.271,0.005,6080.2755,0.0003
Th,2,6080.6547,0.0007,6080.65466,0.00009
Fe,1,6080.6919,0.0011,6080.6904,0.0005
Mo,1,6081.247,0.010,6081.248+,0.005
Na,6,,,6080,50
Gd,2,6082.33,0.10,,
Mo,1,6082.95,0.10,6082.933+,0.005
V,1,6083.125,0.002,6083.1258,0.0006
Fe,1,6083.394,0.003,6083.3919,0.0005
Fe,1,6083.512,0.003,6083.5121,0.0005
S,1,,,6083.52+,0.04
Fe,1,6084.3942,0.0011,6084.3938,0.0005
S,1,,,6084.42+,0.04
V,1,6084.486,0.005,6084.4812,0.0015
S,1,,,6084.86+,0.04
Ba,1,6085.078,0.010,6085.078+,0.005
Fe,1,6085.347,0.003,6085.3443,0.0005
Ag,1,6085.46,0.10,6085.19,0.74
Ti,1,6086.910,0.004,6086.9107,0.0015
Th,2,6086.9401,0.0004,6086.94028,0.00009
Fe,1,6086.9434,0.0011,6086.9422,0.0005
Th,2,6087.115,0.005,6087.1198,0.0003
Th,2,6087.683,0.005,6087.69298,0.00022
Pr,2,6087.84,0.10,6087.86+,0.05
Ni,1,,,6087.966,0.010
Th,2,6088.9474,0.0003,6088.94745,0.00008
U,2,6089.03,0.10,,
Th,2,6089.072,0.005,6089.08778,0.00022
V,1,6089.178,0.003,6089.1809,0.0011
Pr,2,6089.21,0.10,6089.22+,0.05
Th,2,6089.261,0.005,6089.27149,0.00022
Cr,1,6089.43,0.04,6089.4430,0.0006
Fe,1,6089.563,0.007,6089.5673,0.0005
Y,1,6089.6198,0.0010,6089.6259,0.0005
V,1,6091.16,0.02,6091.1682,0.0015
Na,9,,,6090,50
Th,2,6091.7979,0.0008,6091.79975,0.00022
V,1,6091.895,0.002,6091.8944,0.0006
Pr,2,6092.07,0.10,6092.06+,0.05
V,1,6092.21,0.02,6092.2240,0.0011
Th,2,6092.502,0.005,6092.49723,0.00008
Ti,1,6092.855,0.004,6092.8572,0.0022
Fe,1,6093.406,0.003,6093.4052,0.0005
Ti,1,6094.477,0.004,6094.4784,0.0019
Pr,2,6094.78,0.10,6094.75+,0.05
Fe,1,6095.3309,0.0011,6095.3291,0.0005
V,1,6095.562,0.005,6095.5647,0.0019
Fe,1,6096.0603,0.0011,6096.0596,0.0005
Fe,1,6098.3526,0.0011,6098.3515,0.0005
Fe,1,6098.769,0.003,6098.7688,0.0005
Th,2,6098.8824,0.0006,6098.88122,0.00011
V,1,6099.146,0.004,6099.1505,0.0011
Fe,1,6099.9324,0.0011,6099.9314,0.0005
Ce,2,6100.03,0.10,6100.014+,0.005
Cr,1,6100.08,0.04,6100.0880,0.0015
Ti,1,6100.345,0.004,6100.3463,0.0019
Th,2,6100.77165,0.00015,6100.77158,0.00009
Cd,1,6100.8305,0.0010,6100.830,0.006
Cr,1,6101.23,0.04,6101.284,0.011
Th,2,6101.493,0.005,6101.4963,0.0003
Fe,1,6101.9600,0.0011,6101.9592,0.0005
La,2,6102.07,0.10,6102.06+,0.05
Th,2,6102.267,0.005,6102.27357,0.00022
Mo,1,6103.558,0.010,6103.557+,0.005
Fe,1,6103.866,0.007,6103.8558,0.0005
Fe,1,6103.866,0.007,6103.8602,0.0019
Ca,1,6104.41,0.10,6104.412,0.010
Ti,1,6104.498,0.004,6104.4974,0.0015
Fe,1,6104.8742,0.0011,6104.8742,0.0008
Fe,1,6104.9830,0.0011,6104.9826,0.0005
Th,2,6105.3313,0.0004,6105.33095,0.00011
Cr,1,6105.89,0.04,6105.9103,0.0015
Th,2,6106.2721,0.0003,6106.27221,0.00011
V,1,6106.343,0.005,6106.3511,0.0015
Fe,1,6106.8210,0.0011,6106.8173,0.0005
Ni,1,,,6107.452,0.010
