element,sp_num,obs_wl_air(A),unc_obs_wl,ritz_wl_air(A),unc_ritz_wl
Th,2,4358.5551,0.0004,4358.55511,0.00010
Cr,1,4358.57,0.03,4358.5427,0.0006
Cr,1,4358.6527,0.0017,4358.6526,0.0004
Th,2,4358.6686,0.0008,4358.66855,0.00010
Fe,1,4358.684,0.003,4358.6835,0.0003
Th,2,4358.8190,0.0006,4358.81849,0.00010
Th,2,4359.1286,0.0008,4359.12860,0.00021
Th,2,4359.2856,0.0017,4359.2777,0.0003
Ba,1,4359.5269,0.0010,4359.527+,0.003
Cr,1,4359.6246,0.0004,4359.62444,0.00013
Mn,1,,,4359.632,0.010
Pr,2,4359.79,0.10,4359.79+,0.03
Th,2,4359.804,0.003,4359.8047,0.0006
Mn,1,,,4359.822,0.010
Cr,1,4359.9118,0.0020,4359.9105,0.0003
Cr,1,4359.9911,0.0007,4359.9909,0.0003
Ti,1,4360.482,0.002,4360.4824,0.0011
V,1,4360.578,0.003,4360.5799,0.0006
Sm,2,4360.72,0.10,,
Fe,1,4360.8029,0.0015,4360.8040,0.0004
Zr,1,4360.81,0.10,,
Cr,1,4360.955,0.020,4360.9628,0.0003
V,1,4361.002,0.003,4361.0020,0.0010
Sm,2,4361.07,0.10,,
Ru,1,4361.21,0.10,4361.20+,0.03
V,1,4361.270,0.003,4361.2684,0.0006
Th,2,4361.30704,0.00025,4361.30827,0.00010
V,1,4361.391,0.002,4361.3909,0.0008
Cr,1,4361.45,0.03,4361.4830,0.0023
Eu,2,4361.57,0.10,,
Sr,1,4361.710,0.002,4361.7110,0.0011
Th,2,4361.7944,0.0004,4361.79440,0.00012
Sm,2,4362.04,0.10,,
Cr,1,4362.08,0.03,4362.054,0.006
Th,2,4362.3621,0.0006,4362.36215,0.00015
Cr,1,4362.9521,0.0014,4362.9525,0.0004
Cr,1,4363.1290,0.0004,4363.12902,0.00021
V,1,4363.309,0.003,4363.3091,0.0004
Sm,2,4363.45,0.10,,
V,1,4363.519,0.002,4363.5186,0.0004
Cr,1,4363.693,0.020,4363.7024,0.0008
Ho,2,4363.93,0.10,,
Cr,1,4364.09,0.06,4364.0459,0.0003
Cr,1,4364.1410,0.0020,4364.1441,0.0003
Th,2,4364.187,0.003,4364.19254,0.00019
V,1,4364.208,0.003,4364.2082,0.0010
Ce,2,4364.66,0.10,4364.653+,0.003
La,2,4364.67,0.10,4364.66+,0.03
Cr,1,4364.8809,0.0014,4364.8799,0.0004
Th,2,4364.9436,0.0021,4364.93664,0.00023
V,1,4365.7350,0.0018,4365.7346,0.0015
Fe,1,4365.8964,0.0015,4365.8963,0.0003
Y,1,4366.0235,0.0010,4366.0258,0.0003
Sr,1,4366.20,0.04,4366.0681,0.0019
Cr,1,4366.3009,0.0020,4366.3001,0.0006
Nd,2,4366.315,0.010,4366.313+,0.003
Nd,2,4366.38,0.10,4366.388+,0.003
Nd,2,4366.38,0.10,4366.385+,0.003
Nd,2,4366.38,0.10,4366.382+,0.003
Zr,1,4366.45,0.10,,
Cr,1,4366.62,0.03,4366.617,0.006
V,1,4367.056,0.004,4367.0542,0.0011
Cr,1,4367.307,0.020,4367.3010,0.0006
Fe,1,4367.5782,0.0006,4367.5781,0.0003
Fe,1,4367.9033,0.0006,4367.9032,0.0003
Sm,2,4368.03,0.10,,
V,1,4368.0404,0.0018,4368.0407,0.0003
O,1,,,4368.193,0.010
O,1,,,4368.242,0.010
O,1,4368.25,0.10,4368.258,0.010
Cr,1,4368.2542,0.0007,4368.2543,0.0003
Th,2,4368.314,0.003,4368.31241,0.00019
Pr,2,4368.33,0.10,4368.33+,0.03
Cr,1,4368.35,0.03,4368.37,0.03
V,1,4368.5915,0.0018,4368.5913,0.0004
Nd,2,4368.632,0.010,4368.631+,0.003
Cr,1,4368.647,0.020,4368.6496,0.0010
Th,2,4368.706,0.003,4368.70573,0.00017
Mn,1,,,4368.871,0.010
Cr,1,4368.9148,0.0020,4368.9148,0.0003
Ti,1,4368.934,0.002,4368.9333,0.0011
Mo,1,4369.041,0.010,4369.042+,0.003
V,1,4369.057,0.003,4369.0576,0.0008
Th,2,4369.061,0.003,4369.06756,0.00017
Cr,1,4369.122,0.020,4369.130,0.011
Th,2,4369.3182,0.0003,4369.31793,0.00006
Sr,1,4369.365,0.005,4369.3562,0.0008
Er,2,4369.39,0.10,,
Eu,2,4369.47,0.10,,
Cr,1,4369.624,0.020,4369.618,0.010
Gd,2,4369.77,0.10,,
Fe,1,4369.7715,0.0006,4369.7716,0.0003
Sm,2,4369.92,0.10,,
Cr,1,4370.44,0.03,4370.43977,0.00021
Cr,1,4370.7628,0.0018,4370.7616,0.0006
Th,2,4370.773,0.003,4370.76973,0.00019
Cr,1,4370.87,0.03,4370.885,0.006
Fe,1,4370.981,0.004,4370.9763,0.0003
Cr,1,4371.2748,0.0004,4371.27465,0.00014
Pr,2,4371.62,0.10,,
Th,2,4371.767,0.003,4371.76887,0.00008
Th,2,4372.0953,0.0010,4372.0965,0.0003
Eu,2,4372.20,0.10,,
Ru,1,4372.21,0.10,4372.20+,0.03
Cr,1,4372.31,0.03,4372.3089,0.0010
Ti,1,4372.375,0.002,4372.3730,0.0015
Th,2,4372.814,0.003,4372.81237,0.00015
Fe,1,4372.9814,0.0015,4372.9863,0.0003
V,1,4373.224,0.003,4373.2232,0.0011
Cr,1,4373.2549,0.0004,4373.25478,0.00017
V,1,4373.423,0.002,4373.4227,0.0008
Sm,2,4373.46,0.10,,
Fe,1,4373.5604,0.0006,4373.5605,0.0003
Cr,1,4373.6462,0.0009,4373.6473,0.0008
V,1,4373.818,0.002,4373.8180,0.0008
Ce,2,4373.82,0.10,4373.814+,0.003
Th,2,4373.90332,0.00021,4373.90337,0.00006
Cr,1,4374.1537,0.0004,4374.15357,0.00021
V,1,4374.198,0.005,4374.1971,0.0013
Dy,2,4374.24,0.10,,
Fe,1,4374.4889,0.0006,4374.4888,0.0003
Dy,2,4374.76,0.10,,
Th,2,4374.78509,0.00011,4374.78504,0.00008
Nd,2,4374.923,0.010,4374.920+,0.003
Mn,1,4374.95,0.10,,
Sm,2,4374.98,0.10,,
Th,2,4375.0321,0.0004,4375.03236,0.00008
Nd,2,4375.039,0.010,4375.034+,0.003
V,1,4375.056,0.003,4375.0565,0.0010
Th,2,4375.0882,0.0003,4375.0890,0.0003
V,1,4375.304,0.004,4375.3035,0.0011
V,1,4375.304,0.004,4375.3092,0.0013
Cr,1,4375.3303,0.0004,4375.33013,0.00021
Fe,1,4375.476,0.004,4375.4768,0.0004
Th,2,4375.5894,0.0004,4375.58908,0.00012
Y,1,4375.614,0.010,4375.6166,0.0006
Ce,2,4375.92,0.10,4375.919+,0.003
Fe,1,4375.9298,0.0006,4375.92935,0.00019
Fe,1,4375.9859,0.0015,4375.9860,0.0003
V,1,4376.057,0.003,4376.0569,0.0010
Th,2,4376.4297,0.0025,4376.42434,0.00021
Fe,1,4376.774,0.004,4376.7725,0.0003
Fe,1,4376.774,0.004,4376.7821,0.0004
V,1,4376.787,0.005,4376.7922,0.0004
Cr,1,4376.7953,0.0007,4376.7945,0.0006
Th,2,4377.261,0.003,4377.26070,0.00008
Th,2,4377.3147,0.0004,4377.31483,0.00012
Cr,1,4377.5441,0.0005,4377.54375,0.00021
Fe,1,4377.7913,0.0015,4377.7906,0.0003
V,1,4377.866,0.004,4377.8608,0.0006
V,1,4377.932,0.004,4377.9311,0.0017
La,2,4378.10,0.10,4378.10+,0.03
Cu,1,4378.20,0.06,4378.156,0.058
Sm,2,4378.24,0.10,,
Th,2,4378.8372,0.0006,4378.83722,0.00014
Th,2,4378.957,0.003,4378.95855,0.00008
Ho,2,4379.14,0.10,,
V,1,4379.2298,0.0018,4379.2304,0.0006
Y,1,4379.327,0.010,4379.3265,0.0003
Sr,1,4379.47,0.04,4379.4725,0.0021
Th,2,4379.587,0.003,4379.59003,0.00019
Cr,1,4379.7763,0.0012,4379.7770,0.0003
Th,2,4379.9409,0.0006,4379.94075,0.00014
Th,2,4380.144,0.003,4380.14573,0.00016
Mg,1,4380.375,0.010,4380.376,0.010
V,1,4380.544,0.003,4380.5437,0.0006
Cr,1,4380.5558,0.0016,4380.5563,0.0003
Cr,1,4380.793,0.020,4380.7960,0.0006
V,1,4380.959,,4380.9605,0.0006
V,1,4380.978,0.002,4380.9780,0.0004
V,1,4381.060,0.003,4381.0596,0.0006
Cr,1,4381.1097,0.0005,4381.1097,0.0004
V,1,4381.244,0.003,4381.2400,0.0003
Th,2,4381.40174,0.00013,4381.40170,0.00008
Mo,1,4381.630,0.010,4381.630+,0.003
Mn,1,4381.70,0.10,4381.708,0.010
V,1,4381.742,0.003,4381.7418,0.0008
Th,2,4381.86008,0.00004,4381.86008,0.00004
Th,2,4382.007,0.003,4382.00861,0.00012
Ce,2,4382.17,0.10,4382.165+,0.003
Mo,1,4382.408,0.010,4382.408+,0.003
Cr,1,4382.47,0.03,4382.4986,0.0003
Cr,1,4382.54,0.03,4382.5543,0.0006
Nd,2,4382.737,0.010,4382.733+,0.003
Fe,1,4382.7677,0.0006,4382.7676,0.0004
Cr,1,4382.8549,0.0010,4382.8564,0.0004
Ni,1,,,4382.874,0.010
Eu,2,4383.17,0.10,,
He,1,,,4383.278555,0.000022
La,2,4383.44,0.10,4383.45+,0.03
Th,2,4383.4483,0.0019,4383.4529,0.0003
Fe,1,4383.5447,0.0006,4383.5444,0.0003
V,1,4383.897,0.002,4383.8962,0.0012
Th,2,4383.933,0.003,4383.9292,0.0003
Th,2,4384.019,0.003,4384.02416,0.00014
V,1,4384.183,0.003,4384.1813,0.0006
Sm,2,4384.29,0.10,,
Cr,1,4384.373,0.040,4384.3778,0.0004
Fe,1,4384.6719,0.0015,4384.6718,0.0003
Er,2,4384.70,0.10,,
V,1,4384.7122,0.0018,4384.7130,0.0008
Ho,2,4384.83,0.10,,
Cr,1,4384.9751,0.0004,4384.97500,0.00019
La,2,4385.20,0.10,4385.19+,0.03
Fe,1,4385.2493,0.0015,4385.2490,0.0003
Cr,1,4385.30,0.03,4385.2721,0.0003
V,1,4385.33,0.02,4385.3293,0.0006
Ru,1,4385.39,0.10,4385.39+,0.03
Y,1,4385.474,0.010,4385.4726,0.0003
Ru,1,4385.65,0.10,4385.64+,0.03
Nd,2,4385.663,0.010,4385.661+,0.003
Sr,1,4385.820,0.005,4385.8135,0.0008
Th,2,4386.107,0.003,4386.1062,0.0003
Cr,1,4386.465,0.020,4386.4596,0.0006
Ce,2,4386.84,0.10,4386.827+,0.003
Cr,1,4386.934,0.002,4386.9367,0.0004
Th,2,4387.1071,0.0005,4387.10725,0.00010
V,1,4387.2066,0.0018,4387.2070,0.0004
Cr,1,4387.3749,0.0005,4387.37503,0.00019
Th,2,4387.479,0.003,4387.47902,0.00014
Cr,1,4387.4949,0.0004,4387.49476,0.00021
Y,1,4387.738,0.010,4387.7381,0.0006
Fe,1,4387.8909,0.0006,4387.8908,0.0003
He,1,4387.9296,0.0006,4387.929143,0.000022
Ce,2,4388.01,0.10,4388.005+,0.003
Mn,1,,,4388.078,0.010
V,1,4388.096,0.003,4388.0944,0.0003
Th,2,4388.4006,0.0006,4388.4001,0.0003
Fe,1,4388.4065,0.0006,4388.4066,0.0003
Ti,1,4388.540,0.002,4388.5421,0.0006
Fe,1,4389.245,0.004,4389.2442,0.0003
Th,2,4389.438,0.003,4389.4457,0.0003
V,1,4389.789,0.002,4389.7890,0.0010
V,1,4389.9791,0.0018,4389.9793,0.0010
Na,1,4390.029,0.008,4390.022,0.004
Cr,1,4390.07,0.06,4390.1114,0.0010
Th,2,4390.409,0.003,4390.41348,0.00017
Ru,1,4390.44,0.10,4390.44+,0.03
Fe,1,4390.4477,0.0015,4390.4478,0.0003
Cr,1,4390.53,0.03,4390.536,0.010
Th,2,4390.580,0.003,4390.57296,0.00025
V,1,4390.603,0.002,4390.6032,0.0012
Nd,2,4390.66,0.10,4390.608+,0.003
Nd,2,4390.66,0.10,4390.658+,0.003
Fe,1,4390.752,0.004,4390.7509,0.0004
Cr,1,4390.82,0.03,4390.773,0.006
Sm,2,4390.86,0.10,,
Fe,1,4390.9502,0.0006,4390.9503,0.0003
Th,2,4391.11045,0.00004,4391.11046,0.00003
Th,2,4391.1601,0.0003,4391.15963,0.00010
Ti,1,4391.645,0.002,4391.6412,0.0008
Ce,2,4391.66,0.10,4391.659+,0.003
V,1,4391.670,0.003,4391.6700,0.0008
Cr,1,4391.7509,0.0004,4391.75079,0.00014
Fe,1,4391.863,0.004,4391.8610,0.0003
V,1,4392.066,0.002,4392.0667,0.0004
Cr,1,4392.257,0.002,4392.2572,0.0004
Fe,1,4392.579,0.003,4392.5795,0.0003
Th,2,4392.611,0.003,4392.61017,0.00016
Sr,1,4392.86,0.04,4392.86,0.04
Fe,1,4393.024,0.004,4393.0286,0.0003
Th,2,4393.0532,0.0004,4393.05225,0.00012
V,1,4393.080,0.002,4393.0804,0.0004
Fe,1,4393.090,0.004,4393.0914,0.0004
Na,1,4393.340,0.008,4393.340,0.004
Na,1,4393.340,0.008,4393.340,0.004
Cr,1,4393.369,0.020,4393.3625,0.0006
Cr,1,4393.5269,0.0014,4393.5259,0.0003
V,1,4393.833,0.002,4393.8330,0.0003
Ti,1,4393.922,0.002,4393.9226,0.0014
Y,1,4394.007,0.010,4394.0080,0.0004
Cr,1,4394.188,0.020,4394.17587,0.00021
Y,1,4394.669,0.010,4394.6705,0.0008
Cr,1,4394.67,0.03,4394.64536,0.00023
V,1,4394.802,0.002,4394.8027,0.0006
Cr,1,4394.84,0.04,4394.8253,0.0003
Cr,1,4394.84,0.04,4394.85688,0.00023
Ti,1,4394.875,0.002,4394.8738,0.0010
Th,2,4394.8945,0.0003,4394.89455,0.00008
V,1,4395.2235,0.0018,4395.2233,0.0006
Fe,1,4395.2738,0.0015,4395.2739,0.0003
Cr,1,4395.416,0.020,4395.4023,0.0003
Ti,1,4395.465,0.002,4395.4662,0.0008
Fe,1,4395.497,0.003,4395.4983,0.0003
Pr,2,4396.08,0.10,,
Cr,1,4396.16,0.03,4396.1647,0.0003
Ag,1,4396.23,0.10,4396.16,0.39
Th,2,4396.47831,0.00021,4396.47840,0.00008
Cu,1,4397.0,0.3,4397.006,0.023
Th,2,4397.1215,0.0006,4397.1199,0.0004
Cr,1,4397.2366,0.0010,4397.2365,0.0003
Th,2,4397.260,0.003,4397.26000,0.00019
V,1,4397.356,0.004,4397.3604,0.0008
Ti,1,4397.721,0.005,4397.7134,0.0006
Th,2,4397.752,0.003,4397.74414,0.00012
V,1,4397.842,0.003,4397.8436,0.0003
Th,2,4397.91491,0.00017,4397.91490,0.00006
Th,2,4398.020,0.003,4398.0200,0.0003
Ce,2,4398.79,0.10,4398.783+,0.003
Th,2,4398.837,0.003,4398.83470,0.00008
Cr,1,4399.04,0.03,4399.043,0.008
Th,2,4399.0939,0.0003,4399.09395,0.00019
Ce,2,4399.20,0.10,4399.200+,0.003
V,1,4399.4135,0.0018,4399.4138,0.0004
Cr,1,4399.8111,0.0010,4399.8105,0.0003
Th,2,4400.3862,0.0003,4400.38613,0.00008
Ho,2,4400.55,0.10,,
V,1,4400.5718,0.0012,4400.5717,0.0006
Ti,1,4400.580,0.002,4400.5812,0.0016
Th,2,4400.646,0.003,4400.64918,0.00018
Nd,2,4400.828,0.010,4400.821+,0.003
Ti,1,4400.841,0.002,4400.8480,0.0010
Th,2,4401.050,0.003,4401.04918,0.00014
V,1,4401.102,0.005,4401.1139,0.0003
Th,2,4401.2071,0.0006,4401.20721,0.00012
Ho,2,4401.24,0.10,,
Fe,1,4401.2896,0.0006,4401.2897,0.0003
Fe,1,4401.4426,0.0006,4401.4425,0.0003
Ni,1,4401.55,0.10,4401.541,0.010
Th,2,4401.6616,0.0005,4401.66033,0.00008
V,1,4401.732,0.002,4401.7325,0.0012
Th,2,4401.9897,0.0006,4401.98977,0.00018
Ba,1,4402.5386,0.0010,4402.538+,0.003
Th,2,4402.7341,0.0006,4402.73402,0.00012
Sm,2,4403.06,0.10,,
Er,2,4403.17,0.10,,
Fe,1,4403.175,0.004,4403.1749,0.0014
Sm,2,4403.36,0.10,,
Cr,1,4403.3708,0.0005,4403.37080,0.00021
Cr,1,4403.4936,0.0005,4403.4937,0.0004
Pr,2,4403.60,0.10,4403.60+,0.03
V,1,4403.668,0.003,4403.6683,0.0008
Ti,1,4404.275,0.005,4404.2696,0.0014
Ti,1,4404.389,0.002,4404.3895,0.0008
Fe,1,4404.7501,0.0006,4404.7498,0.0003
Ti,1,4404.897,0.002,4404.8964,0.0008
Th,2,4404.917,0.003,4404.91602,0.00014
Fe,1,4405.0187,0.0006,4405.0185,0.0003
V,1,4405.022,0.002,4405.0206,0.0003
Pr,2,4405.12,0.10,,
Eu,2,4405.27,0.10,,
Ti,1,4405.680,0.002,4405.6820,0.0008
Th,2,4405.724,0.003,4405.72183,0.00018
V,1,4405.770,0.004,4405.7682,0.0003
Pr,2,4405.83,0.10,4405.83+,0.03
Sr,1,4406.009,0.005,4406.009,0.005
V,1,4406.100,0.010,4406.0779,0.0006
Cr,1,4406.2688,0.0010,4406.2684,0.0004
Th,2,4406.329,0.003,4406.32761,0.00020
Th,2,4406.4267,0.0008,4406.42611,0.00018
V,1,4406.6388,0.0012,4406.6382,0.0008
Gd,2,4406.67,0.10,,
Cr,1,4406.67,0.04,4406.683,0.012
Cr,1,4406.67,0.04,4406.7002,0.0008
Th,2,4406.785,0.003,4406.78130,0.00023
Ba,1,4406.8319,0.0010,4406.832+,0.003
Th,2,4406.997,0.003,4406.99880,0.00021
Cr,1,4407.027,0.020,4407.023,0.006
Eu,2,4407.07,0.10,,
Fe,1,4407.233,0.004,4407.2342,0.0003
Th,2,4407.510,0.003,4407.50702,0.00018
V,1,4407.6335,0.0012,4407.6338,0.0008
Fe,1,4407.657,0.003,4407.6567,0.0003
Fe,1,4407.7089,0.0006,4407.7086,0.0003
Cr,1,4407.7111,0.0018,4407.71131,0.00020
Mn,1,,,4408.085,0.010
V,1,4408.1959,0.0012,4408.1958,0.0004
Gd,2,4408.25,0.10,,
Fe,1,4408.4132,0.0006,4408.4132,0.0003
V,1,4408.4931,,4408.4931,0.0010
V,1,4408.5139,0.0012,4408.5162,0.0006
V,1,4408.677,0.002,4408.6762,0.0012
Pr,2,4408.82,0.10,4408.82+,0.03
Th,2,4409.0088,0.0005,4409.00868,0.00012
Fe,1,4409.1192,0.0016,4409.1189,0.0004
Sm,2,4409.33,0.10,,
Dy,2,4409.38,0.10,,
Cr,1,4409.565,0.020,4409.566,0.008
Y,1,4409.700,0.010,4409.6981,0.0003
Mg,1,,,4409.923,0.010
Mo,1,4409.944,0.010,4409.945+,0.003
Ru,1,4410.03,0.10,4410.03+,0.03
Cr,1,4410.2977,0.0007,4410.29753,0.00018
Th,2,4410.4084,0.0006,4410.40850,0.00012
Th,2,4410.4877,0.0004,4410.48775,0.00012
Mn,1,,,4410.496,0.010
Ni,1,,,4410.518,0.010
Ce,2,4410.64,0.10,4410.637+,0.003
Ce,2,4410.76,0.10,4410.762+,0.003
Cr,1,4410.9614,0.0007,4410.96112,0.00022
Nd,2,4411.052,0.010,4411.050+,0.003
Cr,1,4411.0878,0.0005,4411.08773,0.00018
La,2,4411.21,0.10,4411.21+,0.03
Mo,1,4411.565,0.010,4411.565+,0.003
Th,2,4411.6387,0.0008,4411.63837,0.00012
Mo,1,4411.695,0.010,4411.695+,0.003
Mn,1,4411.88,0.10,4411.864,0.010
V,1,4412.1369,0.0012,4412.1369,0.0008
Cr,1,4412.2510,0.0005,4412.25109,0.00014
Ti,1,4412.422,0.002,4412.4212,0.0008
Th,2,4412.52996,0.00023,4412.52979,0.00008
Sr,1,4412.621,0.002,4412.6220,0.0011
Th,2,4412.73922,0.00014,4412.73927,0.00005
Th,2,4412.7991,0.0004,4412.79892,0.00012
Th,2,4412.89294,0.00018,4412.89289,0.00005
Cd,1,4412.9894,0.0010,4412.9894,0.0020
Cr,1,4412.996,0.002,4412.9946,0.0008
Zr,1,4413.04,0.10,,
Th,2,4413.3745,0.0004,4413.37446,0.00012
Ba,1,4413.6612,0.0010,4413.661+,0.003
V,1,4413.680,0.002,4413.6795,0.0004
Pr,2,4413.77,0.10,4413.77+,0.03
Cr,1,4413.8551,0.0005,4413.8548,0.0003
Cr,1,4414.065,0.002,4414.0650,0.0019
Ti,1,4414.096,0.002,4414.0972,0.0008
Cr,1,4414.38,0.06,4414.3372,0.0019
Cr,1,4414.47,0.06,4414.4667,0.0004
V,1,4414.537,0.002,4414.5363,0.0012
Th,2,4414.6238,0.0005,4414.62279,0.00010
Th,2,4414.853,0.003,4414.85140,0.00012
Mn,1,4414.88,0.10,4414.890,0.010
Ti,1,4414.923,0.002,4414.9191,0.0006
Fe,1,4414.931,0.003,4414.9315,0.0003
V,1,4415.0285,0.0018,4415.0287,0.0008
Fe,1,4415.1222,0.0006,4415.1221,0.0003
Cu,1,4415.54,0.06,4415.551,0.012
Ti,1,4415.565,0.002,4415.5660,0.0006
Th,2,4415.592,0.003,4415.58998,0.00016
Th,2,4416.23700,0.00020,4416.23690,0.00006
V,1,4416.4665,0.0012,4416.4662,0.0010
Ti,1,4416.531,0.002,4416.5304,0.0008
V,1,4416.6835,0.0018,4416.6830,0.0012
V,1,4416.839,0.003,4416.8374,0.0010
Ce,2,4416.90,0.10,4416.900+,0.003
Th,2,4417.0325,0.0021,4417.03064,0.00016
Cr,1,4417.24,0.03,4417.242,0.012
Ti,1,4417.274,0.002,4417.2734,0.0010
Cs,1,4417.3432,0.0002,4417.34318,0.00020
Y,1,4417.4307,0.0010,4417.4311,0.0004
Ti,1,4417.444,0.002,4417.4397,0.0006
Sm,2,4417.58,0.10,,
Cr,1,4417.71,0.03,4417.735,0.008
Sr,1,4418.087,0.005,4418.090,0.004
Fe,1,4418.419,0.003,4418.4194,0.0003
V,1,4418.45,0.02,4418.4778,0.0006
Th,2,4418.6617,0.0004,4418.66185,0.00008
Ce,2,4418.78,0.10,4418.780+,0.003
Th,2,4419.0055,0.0006,4419.00552,0.00012
Gd,2,4419.03,0.10,,
Pr,2,4419.04,0.10,,
Cr,1,4419.0998,0.0016,4419.09992,0.00020
La,2,4419.16,0.10,4419.14+,0.03
V,1,4419.310,0.003,4419.3108,0.0004
Th,2,4419.3173,0.0021,4419.31828,0.00016
Er,2,4419.61,0.10,,
Pr,2,4419.65,0.10,4419.66+,0.03
Eu,2,4419.66,0.10,,
Mn,1,4419.78,0.10,4419.774,0.010
Na,1,4419.885,0.008,4419.883,0.004
V,1,4419.9341,0.0012,4419.9337,0.0006
Cr,1,4420.34,0.03,4420.3365,0.0006
Zr,1,4420.46,0.10,,
Sm,2,4420.53,0.10,,
Ho,2,4420.56,0.10,,
Th,2,4420.737,0.003,4420.72948,0.00008
V,1,4420.951,0.004,4420.9509,0.0006
Cr,1,4420.963,0.020,4420.9661,0.0010
Sm,2,4421.14,0.10,,
Pr,2,4421.22,0.10,4421.22+,0.03
Ti,1,4421.451,0.002,4421.4526,0.0006
Ru,1,4421.46,0.10,4421.46+,0.03
V,1,4421.5678,0.0012,4421.5674,0.0006
Th,2,4421.664,0.003,4421.67199,0.00010
Ti,1,4421.752,0.002,4421.7518,0.0010
Th,2,4421.8312,0.0006,4421.83175,0.00022
V,1,4422.2304,0.0012,4422.2305,0.0012
V,1,4422.473,0.005,4422.4744,0.0012
Er,2,4422.51,0.10,,
Fe,1,4422.5678,0.0006,4422.5677,0.0003
Cr,1,4422.6890,0.0011,4422.6891,0.0004
Th,2,4422.7828,0.0003,4422.78277,0.00005
Ti,1,4422.820,0.002,4422.8198,0.0008
Fe,1,4423.1412,0.0016,4423.1407,0.0003
V,1,4423.2056,0.0015,4423.2053,0.0006
Na,1,4423.246,0.008,4423.246,0.004
Cr,1,4423.3145,0.0005,4423.31433,0.00020
V,1,4423.596,0.003,4423.5963,0.0006
Mo,1,4423.609,0.010,4423.609+,0.003
Cr,1,4423.67,0.08,4423.6152,0.0004
Cr,1,4423.67,0.08,4423.7019,0.0010
Ce,2,4423.68,0.10,4423.673+,0.003
Cu,1,4423.81,0.06,4423.826,0.027
Fe,1,4423.8405,0.0016,4423.8410,0.0003
Th,2,4423.9007,0.0004,4423.90033,0.00008
V,1,4423.9100,0.0015,4423.9101,0.0010
Th,2,4423.933,0.003,4423.93892,0.00012
Fe,1,4424.068,0.004,4424.0673,0.0003
Cr,1,4424.0757,0.0007,4424.07534,0.00020
Fe,1,4424.1876,0.0016,4424.1873,0.0004
Cr,1,4424.2784,0.0005,4424.2787,0.0003
Sm,2,4424.34,0.10,4424.34+,0.03
Ti,1,4424.385,0.002,4424.3832,0.0006
Cr,1,4424.497,0.007,4424.49430,0.00022
V,1,4424.5669,0.0018,4424.5682,0.0006
Pr,2,4424.58,0.10,,
Th,2,4425.1158,0.0014,4425.11403,0.00014
Cr,1,4425.1269,0.0007,4425.1272,0.0003
Ca,1,4425.44,0.10,4425.437,0.010
Cr,1,4425.61,0.03,4425.5951,0.0006
Fe,1,4425.656,0.003,4425.6574,0.0004
V,1,4425.7105,0.0012,4425.7092,0.0008
Cs,1,4425.7258,0.0002,4425.72582,0.00020
Fe,1,4425.752,0.004,4425.7511,0.0003
Sr,1,4425.77,0.04,4425.80,0.04
Ti,1,4425.824,0.002,4425.8230,0.0008
Th,2,4425.9843,0.0004,4425.98420,0.00014
V,1,4425.9978,0.0012,4425.9974,0.0006
Th,2,4426.050,0.003,4426.0503,0.0003
Ti,1,4426.055,0.002,4426.0513,0.0008
Cr,1,4426.653,0.030,4426.641,0.012
Cr,1,4426.653,0.030,4426.6617,0.0003
Cr,1,4427.02,0.03,4427.0247,0.0006
Ce,2,4427.07,0.10,4427.069+,0.003
Ti,1,4427.098,0.002,4427.0976,0.0012
Zr,1,4427.24,0.10,,
V,1,4427.2874,0.0018,4427.2877,0.0012
Fe,1,,,4427.2981,0.0003
Fe,1,4427.3096,0.0006,4427.3095,0.0003
La,2,4427.55,0.10,4427.56+,0.03
Th,2,4427.6544,0.0004,4427.65437,0.00008
Cr,1,4427.709,0.020,4427.7065,0.0003
Th,2,4427.786,0.003,4427.78663,0.00006
Ce,2,4427.92,0.10,4427.916+,0.003
Ce,2,4428.44,0.10,4428.438+,0.003
Ru,1,4428.46,0.10,4428.46+,0.03
Cr,1,4428.5033,0.0007,4428.5030,0.0003
V,1,4428.5096,0.0012,4428.5100,0.0004
Fe,1,4428.567,0.004,4428.5702,0.0003
Pr,2,4429.13,0.10,4429.13+,0.03
Fe,1,4429.187,0.003,4429.1906,0.0003
Pr,2,4429.25,0.10,4429.25+,0.03
Th,2,4429.2568,0.0004,4429.25659,0.00005
Ce,2,4429.27,0.10,4429.267+,0.003
Cr,1,4429.54,0.06,4429.5576,0.0004
Th,2,4429.5898,0.0006,4429.58985,0.00010
V,1,4429.7893,0.0018,4429.7894,0.0010
La,2,4429.90,0.10,4429.91+,0.03
Cr,1,4429.9239,0.0011,4429.9232,0.0004
Ti,1,4430.017,0.002,4430.0159,0.0006
Fe,1,4430.1888,0.0006,4430.1887,0.0003
Ti,1,4430.364,0.002,4430.3614,0.0018
Ti,1,4430.364,0.002,4430.3638,0.0008
Cr,1,4430.4692,0.0005,4430.4692,0.0004
V,1,4430.499,0.003,4430.4995,0.0004
Fe,1,4430.6137,0.0006,4430.6136,0.0003
Ni,1,,,4431.033,0.010
Ti,1,4431.276,0.002,4431.2764,0.0012
Zr,1,4431.49,0.10,,
Th,2,4431.628,0.003,4431.63248,0.00022
Ba,1,4431.8943,0.0010,4431.894+,0.003
Cr,1,4432.1663,0.0006,4432.1665,0.0004
Pr,2,4432.28,0.10,,
Na,1,4432.3,0.2,4432.34,0.14
Th,2,4432.420,0.003,4432.42039,0.00005
