element,sp_num,obs_wl_air(A),unc_obs_wl,ritz_wl_air(A),unc_ritz_wl
Fe,1,5139.4625,0.0008,5139.4620,0.0004
V,1,5139.53,0.02,5139.5247,0.0008
Dy,2,5139.60,0.10,,
Cr,1,5139.6457,0.0005,5139.6456,0.0004
Th,2,5139.771,0.003,5139.7690,0.0003
Th,2,5140.065,0.003,5140.0686,0.0003
Tm,2,5140.28,0.10,,
Th,2,5140.7172,0.0003,5140.71802,0.00008
Gd,2,5140.84,0.10,,
Fe,1,5141.7387,0.0008,5141.7385,0.0004
Cr,1,5142.262,0.002,5142.2620,0.0004
Fe,1,5142.4938,0.0008,5142.4936,0.0004
Fe,1,5142.5409,0.0008,5142.5402,0.0004
Ho,2,5142.59,0.10,,
Cu,1,5142.7,0.3,5142.87,0.16
Ru,1,5142.76,0.10,5142.77+,0.04
Ni,1,5142.77,0.10,,
Fe,1,5142.9282,0.0008,5142.9283,0.0004
Ho,2,5143.22,0.10,,
Th,2,5143.26734,0.00011,5143.26730,0.00005
Fe,1,5143.7234,0.0021,5143.7226,0.0004
Cu,1,5144.120,0.021,5144.122,0.013
Th,2,5144.145,0.003,5144.1437,0.0004
Cr,1,5144.6674,0.0013,5144.6685,0.0004
Th,2,5145.03837,0.00021,5145.03831,0.00006
Fe,1,5145.0933,0.0021,5145.0939,0.0004
Mo,1,5145.378,0.010,5145.378+,0.004
Ti,1,5145.460,0.003,5145.4602,0.0011
Fe,1,5146.306,0.004,5146.3070,0.0004
Ni,1,5146.48,0.10,,
Yb,2,5147.02,0.10,,
Th,2,5147.0881,0.0008,5147.08787,0.00011
Ru,1,5147.24,0.10,5147.24+,0.04
Mo,1,5147.383,0.010,5147.384+,0.004
Th,2,5147.464,0.003,5147.45433,0.00016
Ti,1,5147.477,0.003,5147.4777,0.0008
Ce,2,5147.57,0.10,5147.565+,0.004
Th,2,5147.962,0.003,5147.96072,0.00019
Fe,1,5148.0425,0.0008,5148.0420,0.0004
Th,2,5148.21149,0.00016,5148.21159,0.00008
Fe,1,5148.2288,0.0008,5148.2284,0.0004
V,1,5148.413,0.006,5148.4116,0.0013
V,1,5148.700,0.002,5148.7009,0.0011
Na,1,5148.8381,0.0005,5148.8383,0.0005
Mn,1,,,5149.156,0.010
Tm,2,5149.40,0.10,,
Cr,1,5149.481,0.005,5149.4814,0.0005
Ho,2,5149.59,0.10,,
Fe,1,5150.1968,0.0021,5150.1968,0.0004
Th,2,5150.7262,0.0008,5150.72728,0.00021
Fe,1,5150.8392,0.0008,5150.8390,0.0004
Mn,1,5150.89,0.10,5150.933,0.010
Ru,1,5151.07,0.10,5151.07+,0.04
Th,2,5151.6916,0.0005,5151.68906,0.00016
Cr,1,5151.8267,0.0013,5151.8265,0.0003
Th,2,5151.8593,0.0003,5151.85916,0.00008
Fe,1,5151.911,0.005,5151.9106,0.0004
Ti,1,5152.184,0.003,5152.1835,0.0011
Pr,2,5152.30,0.10,5152.30+,0.04
Cs,1,5152.6813,0.0005,5152.68344,0.00014
Ru,1,5153.20,0.10,5153.21+,0.04
Cu,1,5153.235,0.009,5153.238,0.005
Na,1,5153.4024,0.0005,5153.4024,0.0005
Th,2,5153.4268,0.0024,5153.4309,0.0003
V,1,5153.4587,,5153.4587,0.0013
Th,2,5153.5173,0.0005,5153.51718,0.00011
Th,2,5153.605,0.003,5153.62043,0.00016
Fe,1,,,5154.1003,0.0004
Cd,1,5154.6605,0.0010,5154.6618,0.0008
Th,2,5154.8985,0.0004,5154.89866,0.00011
Sm,2,5155.03,0.10,,
Ni,1,,,5155.126,0.010
Ru,1,5155.14,0.10,5155.14+,0.04
Zr,1,5155.45,0.10,,
Ni,1,5155.76,0.10,5155.764,0.010
Sr,1,5156.040,0.002,5156.0400,0.0020
Fe,1,,,5156.3163,0.0004
La,2,5156.74,0.10,5156.73+,0.04
Gd,2,5156.76,0.10,,
V,1,5157.008,0.004,5157.0092,0.0008
